# step, gen_loss, dis_loss, train_acc
100,  8.126820E-01, -4.673418E-01,  3.7500E-01
200,  4.571300E-01, -3.549911E-01,  4.5312E-01
300, -3.553933E+00, -2.889493E-01,  6.2500E-01
400, -6.807616E+00, -2.043836E-01,  6.0938E-01
500,  1.728010E-01, -1.192965E-01,  6.8750E-01
600,  5.457643E-01, -1.467027E-01,  7.0312E-01
700, -7.761618E-01, -1.994545E-01,  5.9375E-01
800,  1.835222E+00, -1.306644E-01,  7.6562E-01
900,  1.902510E+00, -9.285560E-02,  7.5000E-01
1000,  2.916938E+00, -5.587167E-02,  7.8125E-01
1100,  3.776835E+00, -1.077772E-01,  7.6562E-01
1200,  2.363636E+00, -6.461991E-02,  7.5000E-01
1300,  5.487352E+00, -4.354129E-02,  7.5000E-01
1400,  3.551250E+00, -1.948703E-03,  7.9688E-01
1500,  4.880354E+00, -5.038374E-02,  7.8125E-01
1600,  7.651201E+00,  8.268736E-03,  8.5938E-01
1700,  2.537937E+00, -5.171994E-02,  8.4375E-01
1800,  6.467419E+00, -1.742960E-02,  8.1250E-01
1900,  4.588550E+00, -6.309311E-02,  7.8125E-01
2000,  1.985179E+00, -7.460018E-02,  7.5000E-01
2100,  3.799132E+00, -3.415725E-02,  7.9688E-01
2200,  2.732069E+00, -1.740219E-02,  8.1250E-01
2300,  1.329463E+00, -3.708509E-02,  8.5938E-01
2400, -3.126242E-01, -3.276048E-02,  7.9688E-01
2500,  1.153450E+00, -7.523362E-02,  8.2812E-01
2600, -7.505019E-01, -7.770872E-02,  7.8125E-01
2700, -8.248301E-01,  2.300681E-02,  7.8125E-01
2800,  6.707530E+00, -1.453091E-02,  8.7500E-01
2900,  3.071593E+00, -3.647824E-02,  8.2812E-01
3000,  7.570900E-01, -3.565690E-02,  9.0625E-01
3100, -1.561461E+00, -4.264639E-02,  8.5938E-01
3200,  4.338614E+00, -3.143771E-02,  7.9688E-01
3300,  4.933478E+00, -4.246464E-02,  8.4375E-01
3400,  4.226865E+00, -4.856549E-02,  7.6562E-01
3500, -4.612724E+00, -3.310176E-02,  8.1250E-01
3600,  8.840249E-01, -4.865251E-02,  7.5000E-01
3700,  6.324853E+00, -6.845170E-02,  7.5000E-01
3800,  2.801753E+00, -4.298528E-02,  7.9688E-01
3900,  1.291971E+01, -1.241845E-02,  8.1250E-01
4000,  7.650314E+00, -8.476583E-03,  8.2812E-01
4100,  9.329900E+00, -4.078143E-02,  8.7500E-01
4200, -1.666310E+00, -2.475083E-02,  8.4375E-01
4300, -6.354662E+00, -5.219701E-02,  7.9688E-01
4400,  2.530757E+00, -2.367048E-02,  8.2812E-01
4500,  1.415389E+00, -2.619833E-02,  8.9062E-01
4600,  3.765107E+00, -6.163524E-02,  8.1250E-01
4700,  1.118216E+00,  1.163324E-02,  9.2188E-01
4800, -4.106702E+00, -1.656259E-02,  8.5938E-01
4900,  4.922164E+00, -4.856203E-03,  8.5938E-01
5000,  8.334350E+00,  1.696713E-02,  9.2188E-01
5100,  2.710752E+00, -2.835689E-02,  8.1250E-01
5200,  1.013321E+01, -4.563136E-02,  8.4375E-01
5300,  4.278442E+00, -3.025665E-02,  9.3750E-01
5400,  9.274559E+00, -4.409806E-02,  8.1250E-01
5500,  6.441641E+00, -3.272845E-02,  8.2812E-01
5600,  1.461727E+01, -6.794854E-02,  8.4375E-01
5700,  2.603937E+00, -2.512504E-02,  8.7500E-01
5800,  1.458366E+01, -1.224809E-02,  8.7500E-01
5900,  9.527527E+00, -3.268718E-02,  8.5938E-01
6000, -2.788536E+00,  3.058602E-03,  8.5938E-01
6100, -1.382977E+01, -6.702443E-03,  8.9062E-01
6200,  6.811678E+00, -4.007109E-02,  7.9688E-01
6300, -1.698007E+01, -2.384009E-02,  8.7500E-01
6400,  2.074222E+01, -2.112671E-02,  9.3750E-01
6500, -1.056163E+01,  1.760652E-02,  8.7500E-01
6600, -1.018233E+01, -1.901948E-02,  7.8125E-01
6700,  1.241904E+00, -2.256506E-02,  8.7500E-01
6800, -7.804617E+00,  5.014568E-03,  9.3750E-01
6900, -1.057729E+01, -2.527027E-02,  8.7500E-01
7000, -4.003881E-01, -2.478363E-02,  8.9062E-01
7100, -1.228278E+01, -2.465130E-02,  8.2812E-01
7200,  5.750374E+00, -3.853544E-02,  9.0625E-01
7300,  4.857059E+00,  1.905868E-02,  8.7500E-01
7400,  8.291909E+00, -1.387885E-02,  8.5938E-01
7500,  1.308124E+01, -1.076984E-02,  8.5938E-01
7600,  2.247905E+00, -3.363410E-02,  8.2812E-01
7700,  3.439674E+00, -2.412053E-02,  9.0625E-01
7800, -5.436050E+00, -4.344817E-02,  7.9688E-01
7900, -2.916740E+00, -5.441786E-02,  8.2812E-01
8000, -2.806285E+01, -2.577836E-02,  8.9062E-01
8100,  8.656822E-01, -3.467238E-02,  8.5938E-01
8200, -2.900969E+00, -5.157637E-02,  8.5938E-01
8300, -1.592503E-01, -3.570318E-04,  8.9062E-01
8400,  1.968717E+01, -3.117747E-02,  8.4375E-01
8500,  1.275202E+00, -3.226743E-02,  9.0625E-01
8600,  1.566717E+01, -1.020447E-02,  8.4375E-01
8700, -1.880298E+01, -4.051841E-02,  8.7500E-01
8800,  1.957591E+01, -2.325954E-02,  8.9062E-01
8900,  3.412984E+01, -7.456483E-02,  7.8125E-01
9000,  2.371283E+00, -6.026794E-02,  8.7500E-01
9100, -1.196460E+00, -3.858288E-02,  8.1250E-01
9200,  2.129043E+01, -3.750273E-02,  8.1250E-01
9300,  7.999403E+00,  1.309628E-02,  7.6562E-01
9400,  1.420739E+01, -1.682313E-02,  8.4375E-01
9500,  3.002890E+00, -3.606968E-02,  8.4375E-01
9600, -1.668306E+01, -4.098266E-02,  8.5938E-01
9700, -2.951332E+01, -5.016283E-02,  7.9688E-01
9800,  2.003895E+01, -1.966578E-02,  8.9062E-01
9900, -2.808947E+00, -4.496685E-02,  8.7500E-01
10000, -1.615412E+00, -5.222284E-03,  8.7500E-01
10100, -4.509263E+00, -3.581866E-02,  8.7500E-01
10200,  1.444142E+01, -2.923988E-02,  8.4375E-01
10300, -7.922118E+00,  1.230942E-03,  9.0625E-01
10400, -8.433496E-01, -1.834657E-02,  9.0625E-01
10500, -2.477933E+00, -1.161648E-02,  9.0625E-01
10600,  1.659280E+01, -2.496784E-02,  9.2188E-01
10700, -9.507141E-01, -2.711925E-02,  8.1250E-01
10800, -7.593058E+00, -2.067290E-02,  8.7500E-01
10900,  4.987489E+00, -4.126691E-02,  8.4375E-01
11000,  1.525356E+01, -4.624587E-02,  8.7500E-01
11100, -3.010156E-01, -2.559960E-02,  8.9062E-01
11200, -2.885189E+00, -7.497405E-02,  8.2812E-01
11300,  1.490097E+01, -1.549361E-02,  7.9688E-01
11400,  2.129330E+00, -1.260340E-02,  7.6562E-01
11500,  3.944804E+01, -2.783503E-03,  8.7500E-01
11600, -4.289648E+00, -9.065072E-03,  9.2188E-01
11700,  1.254769E+00, -1.585182E-02,  8.7500E-01
11800,  1.497973E+00, -7.581404E-03,  8.9062E-01
11900,  8.055668E+00, -7.232576E-02,  7.8125E-01
12000,  2.176080E+01, -3.891647E-02,  8.4375E-01
12100, -5.748010E+00, -3.334134E-02,  8.5938E-01
12200,  1.575609E+00, -2.982421E-02,  8.7500E-01
12300, -4.345498E+00, -2.229013E-02,  8.5938E-01
12400, -5.647861E+00, -1.522959E-02,  8.9062E-01
12500, -1.157785E+01, -2.331468E-03,  9.0625E-01
12600,  1.390385E+01, -1.983649E-02,  8.7500E-01
12700,  8.082445E-01,  1.151478E-03,  9.0625E-01
12800, -3.354581E+00, -1.661917E-02,  8.7500E-01
12900,  3.947581E+00, -1.020899E-02,  9.2188E-01
13000, -2.860693E+01, -1.384735E-02,  8.9062E-01
13100,  1.649756E+01,  6.069888E-03,  9.5312E-01
13200,  2.612430E+00, -2.400485E-02,  8.5938E-01
13300,  3.806355E+00, -1.812254E-02,  8.2812E-01
13400,  4.635295E+00, -1.705030E-02,  9.0625E-01
13500,  7.164938E+00, -1.223254E-02,  8.9062E-01
13600, -1.421107E+01, -3.701864E-03,  9.5312E-01
13700,  1.124457E+01, -1.795688E-02,  8.9062E-01
13800, -3.264354E+01, -1.132820E-02,  9.5312E-01
13900, -1.054555E+01, -5.567844E-03,  9.3750E-01
14000, -5.911603E+00, -8.446486E-03,  9.2188E-01
14100, -3.980906E+00, -7.829025E-03,  8.5938E-01
14200, -1.099474E+01, -4.237825E-02,  8.5938E-01
14300, -9.353470E+00, -1.082982E-02,  8.7500E-01
14400,  1.072785E+00, -6.453061E-03,  9.0625E-01
14500, -5.870214E+00, -9.857952E-04,  8.9062E-01
14600,  1.310880E+01, -4.751167E-02,  8.1250E-01
14700, -1.834108E+00,  4.344583E-03,  9.8438E-01
14800, -1.269430E+01, -2.430888E-02,  8.4375E-01
14900, -2.735332E+00, -1.231267E-02,  8.7500E-01
15000,  1.506519E+01, -3.376175E-02,  8.7500E-01
15100,  6.588517E+00, -4.419587E-02,  8.5938E-01
15200, -1.295441E+01, -3.553300E-03,  8.7500E-01
15300, -1.776788E+00, -6.122889E-03,  8.9062E-01
15400,  1.472234E+01,  9.031918E-03,  8.2812E-01
15500,  1.385337E+00,  2.663697E-02,  9.2188E-01
15600, -6.549270E+00,  6.567906E-03,  8.5938E-01
15700, -1.416134E+01, -4.901008E-02,  8.4375E-01
15800,  3.839112E+00, -3.750768E-02,  8.7500E-01
15900, -3.042053E+00, -2.447437E-02,  8.5938E-01
16000,  1.452380E+00,  8.804740E-03,  9.0625E-01
16100, -2.334125E+01, -5.134649E-02,  8.9062E-01
16200, -1.869446E+01, -1.582865E-02,  9.2188E-01
16300,  7.460509E+00, -2.358318E-02,  9.5312E-01
16400, -8.091487E+00, -2.544863E-02,  8.7500E-01
16500, -1.929864E-01, -1.483377E-02,  8.9062E-01
16600,  1.460497E+01, -2.280549E-03,  8.7500E-01
16700, -5.564666E+00, -2.902543E-03,  8.5938E-01
16800, -5.860440E-01, -3.386394E-02,  8.2812E-01
16900, -1.088889E+01, -1.505824E-02,  8.5938E-01
17000,  2.908947E+00, -6.138173E-02,  8.1250E-01
17100, -1.870080E+01, -1.436812E-02,  9.5312E-01
17200,  1.858325E+00,  1.070350E-02,  8.7500E-01
17300,  7.266376E+00, -1.412825E-02,  9.3750E-01
17400, -1.203590E+01,  1.076628E-02,  9.2188E-01
17500,  2.185576E+00, -1.868653E-02,  8.7500E-01
17600,  1.226569E+00, -8.177399E-03,  9.0625E-01
17700,  1.481387E+00, -1.817074E-02,  9.3750E-01
17800, -2.170089E+01, -1.144630E-03,  8.9062E-01
17900, -1.758733E+01,  1.493682E-03,  9.3750E-01
18000, -2.416801E+01,  9.388524E-03,  9.0625E-01
18100, -2.079035E+00, -8.209769E-03,  8.9062E-01
18200, -1.716222E+00, -1.784243E-02,  9.3750E-01
18300, -7.904619E+00, -8.719018E-03,  9.5312E-01
18400,  1.176837E+01, -2.571416E-02,  9.0625E-01
18500,  3.115309E+01, -3.531905E-02,  9.2188E-01
