# step, gen_loss, dis_loss, train_acc
100,  8.927270E-01, -4.055235E-01,  6.5625E-01
200,  2.437001E-01, -2.744214E-01,  8.2812E-01
300,  2.586117E-01, -2.265750E-01,  8.1250E-01
400,  2.333041E-01, -2.060154E-01,  8.1250E-01
500,  3.066528E-01, -1.463007E-01,  9.0625E-01
600,  3.432884E-01, -1.551315E-01,  8.4375E-01
700,  4.234774E-01, -1.063082E-01,  8.7500E-01
800,  4.223904E-01, -7.223243E-02,  8.4375E-01
900,  4.787242E-01, -8.824375E-02,  8.4375E-01
1000,  4.478814E-01, -9.036437E-02,  8.5938E-01
1100,  6.516038E-01, -3.902683E-02,  9.2188E-01
1200,  5.864819E-01, -6.708950E-02,  8.5938E-01
1300,  6.055212E-01, -8.173757E-02,  8.2812E-01
1400,  7.562592E-01, -4.805733E-02,  8.9062E-01
1500,  7.609069E-01, -6.057767E-02,  8.5938E-01
1600,  6.430663E-01, -8.914382E-02,  8.1250E-01
1700,  7.266834E-01, -4.040515E-02,  8.9062E-01
1800,  7.368112E-01, -3.249922E-02,  8.2812E-01
1900,  4.540572E-01, -4.255874E-02,  8.5938E-01
2000,  5.621428E-01, -1.014997E-01,  7.1875E-01
2100,  5.231439E-01, -5.515001E-02,  9.0625E-01
2200,  2.757988E-01, -7.072140E-02,  8.4375E-01
2300,  6.729150E-01, -8.567488E-02,  8.4375E-01
2400,  8.012584E-01, -3.858684E-03,  9.3750E-01
2500,  1.039879E+00, -2.602580E-02,  9.0625E-01
2600,  9.979379E-01, -1.349515E-02,  9.0625E-01
2700,  1.041591E+00, -3.087473E-03,  8.9062E-01
2800,  9.602939E-01, -3.297880E-03,  9.5312E-01
2900,  1.255527E+00, -3.849395E-02,  9.2188E-01
3000,  1.172011E+00, -6.612375E-03,  8.9062E-01
3100,  1.174289E+00, -2.909710E-02,  8.7500E-01
3200,  1.268760E+00, -2.662100E-02,  8.7500E-01
3300,  1.330368E+00, -1.579696E-02,  9.2188E-01
3400,  1.374793E+00, -3.902865E-02,  8.9062E-01
3500,  1.540256E+00, -1.195618E-02,  9.0625E-01
3600,  1.299441E+00, -2.685470E-02,  8.7500E-01
3700,  1.185234E+00, -2.746830E-02,  8.9062E-01
3800,  1.306064E+00, -1.952806E-02,  8.7500E-01
3900,  1.368222E+00, -3.739980E-02,  9.2188E-01
4000,  1.325837E+00, -2.737802E-03,  9.6875E-01
4100,  1.477597E+00, -4.072827E-02,  9.0625E-01
4200,  1.315474E+00, -3.660765E-03,  9.0625E-01
4300,  1.336787E+00, -1.827383E-02,  9.2188E-01
4400,  1.088734E+00, -1.082776E-01,  7.6562E-01
4500,  1.243795E+00, -3.977391E-02,  8.5938E-01
4600,  1.091766E+00, -1.338433E-02,  8.2812E-01
4700,  1.114312E+00,  4.010322E-03,  9.3750E-01
4800,  1.128110E+00, -3.234312E-02,  8.4375E-01
4900,  9.532334E-01, -4.208817E-02,  9.0625E-01
5000,  1.457882E+00, -2.785498E-02,  9.2188E-01
5100,  1.318435E+00, -6.414319E-02,  8.5938E-01
5200,  1.502912E+00, -1.654582E-02,  8.7500E-01
5300,  1.457911E+00, -7.426981E-02,  8.5938E-01
5400,  1.433833E+00, -4.023538E-02,  8.4375E-01
5500,  1.572406E+00, -4.059013E-02,  9.0625E-01
5600,  1.454333E+00, -1.230219E-02,  9.3750E-01
5700,  1.599464E+00, -3.074604E-02,  8.4375E-01
5800,  1.497267E+00, -4.832330E-02,  8.2812E-01
5900,  1.593121E+00, -3.329743E-02,  9.3750E-01
6000,  1.458830E+00, -4.470564E-02,  8.4375E-01
6100,  1.619692E+00, -2.635241E-02,  9.0625E-01
6200,  1.630084E+00, -2.593594E-02,  9.0625E-01
6300,  1.946341E+00, -2.392646E-02,  9.2188E-01
6400,  1.810458E+00, -1.484692E-02,  9.0625E-01
6500,  1.794336E+00, -1.897752E-02,  8.9062E-01
6600,  1.788063E+00, -2.079549E-02,  9.0625E-01
6700,  1.623296E+00, -2.066870E-02,  9.2188E-01
6800,  1.773466E+00,  8.290278E-03,  8.4375E-01
6900,  1.842665E+00, -2.381073E-02,  8.9062E-01
7000,  2.273170E+00,  2.655227E-03,  9.3750E-01
